i) Weighted Moving average,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bank of America,,,,,Catterpillar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Period,Close Price,Forecast BAC,Absolute error,Date,Close,Forecast CAT,Absolute error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/12/2022,232,35.07,37.869,7.981,5/12/2022,203.029999,215.191,5.9895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/13/2022,233,35.169998,37.784,7.432,5/13/2022,204.330002,215.285,5.3616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/16/2022,234,34.810001,37.698,8.298,5/16/2022,207.190002,215.380,3.9529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/17/2022,235,35.990002,37.613,4.510,5/17/2022,213.089996,215.475,1.1191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/18/2022,236,34.880001,37.528,7.592,5/18/2022,207.940002,215.569,3.6690,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/19/2022,237,34.450001,37.443,8.687,5/19/2022,206.759995,215.664,4.3065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/20/2022,238,33.860001,37.358,10.329,5/20/2022,197.820007,215.759,9.0682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/23/2022,239,35.869999,37.272,3.909,5/23/2022,204.149994,215.853,5.7328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/24/2022,240,35.650002,37.187,4.311,5/24/2022,205.649994,215.948,5.0076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/25/2022,241,35.84,37.102,3.521,5/25/2022,209.309998,216.043,3.2167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/26/2022,242,36.669998,37.017,0.945,5/26/2022,212.990005,216.138,1.4778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/27/2022,243,37.02,36.931,0.240,5/27/2022,217.139999,216.232,0.4181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/31/2022,244,37.200001,36.846,0.952,5/31/2022,215.850006,216.327,0.2209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/1/2022,245,36.669998,36.761,0.248,6/1/2022,217.570007,216.422,0.5278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/2/2022,246,36.700001,36.676,0.067,6/2/2022,220,216.516,1.5835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/3/2022,247,36.189999,36.590,1.106,6/3/2022,222.899994,216.611,2.8214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/6/2022,248,36.150002,36.505,0.982,6/6/2022,223.630005,216.706,3.0963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/7/2022,249,36.349998,36.420,0.192,6/7/2022,227.100006,216.800,4.5353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/8/2022,250,35.889999,36.335,1.239,6/8/2022,229.800003,216.895,5.6157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/9/2022,251,34.509998,36.249,5.040,6/9/2022,223.669998,216.990,2.9866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/10/2022,252,33.169998,36.164,9.026,6/10/2022,215.179993,217.084,0.8851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/11/2022,253,25,36.079,44.315,6/11/2022,229.98,217.179,5.5661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/12/2022,254,45,35.994,20.014,6/12/2022,210.45,217.274,3.2425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/13/2022,255,43.8,35.908,18.018,6/13/2022,119.62,217.369,81.7159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,MAPE,2.803,,,,2.8539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Stock,MAPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,BAC,2.803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,CAT,2.854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
